"","V1"
"Sensitivity",0.931540342298289
"Specificity",0.96259842519685
"Pos Pred Value",0.714821763602251
"Neg Pred Value",0.992893401015228
"Precision",0.714821763602251
"Recall",0.931540342298289
"F1",0.808917197452229
"Prevalence",0.0914375139727252
"Detection Rate",0.085177733065057
"Detection Prevalence",0.119159400849542
"Balanced Accuracy",0.947069383747569
