,precision,recall,f1-score,support
0,0.9225984796129924,0.9749269717624148,0.9480411883063083,4108.0
1,0.9728160464502508,0.9164594728990552,0.9437972090641403,4022.0
accuracy,0.9460024600246002,0.9460024600246002,0.9460024600246002,0.9460024600246002
macro avg,0.9477072630316216,0.945693222330735,0.9459191986852243,8130.0
weighted avg,0.9474416596645856,0.9460024600246002,0.9459416453159025,8130.0
