,precision,recall,f1-score,support
0,0.9834791059280855,0.9945945945945946,0.9890056193501101,4070.0
1,0.9387186629526463,0.8320987654320988,0.8821989528795812,405.0
accuracy,0.9798882681564246,0.9798882681564246,0.9798882681564246,0.9798882681564246
macro avg,0.9610988844403658,0.9133466800133467,0.9356022861148456,4475.0
weighted avg,0.979428160809638,0.9798882681564246,0.9793393176918834,4475.0
