"","V1"
"Sensitivity",0.792735042735043
"Specificity",0.990511860174782
"Pos Pred Value",0.907090464547677
"Neg Pred Value",0.97613188976378
"Precision",0.907090464547677
"Recall",0.792735042735043
"F1",0.846066134549601
"Prevalence",0.104627766599598
"Detection Rate",0.0829420970266041
"Detection Prevalence",0.0914375139727252
"Balanced Accuracy",0.891623451454912
